model,horizon,regime,meta_model,position_sizing,cost_bps,cagr,annual_volatility,sharpe,sortino,max_drawdown,cost_drag,turnover,number_of_trades,gross_cagr
xgboost,5,hard,none,equal,50,-0.0204462636475868,0.0056928906124676,-3.62577670992504,-4.854748060537603,-0.0631262330049347,0.0584476984126984,0.0150090322580645,1454.0,-0.0016506451688658
xgboost,5,hard,none,inverse_volatility,5,-0.0036301315378275,0.0056255205458599,-0.6436573441822737,-0.8952598554068769,-0.0162115592478981,0.0061036984126984,0.0150090322580645,1454.0,-0.0016506451688658
xgboost,5,hard,none,inverse_volatility,10,-0.00551268272764,0.0056298855779427,-0.9790688642594764,-1.3555720703337697,-0.0199454654825884,0.0119196984126984,0.0150090322580645,1454.0,-0.0016506451688658
xgboost,5,hard,none,inverse_volatility,20,-0.0092671764901108,0.0056409722469836,-1.6476453704783445,-2.262826196180441,-0.0309234226971786,0.0235516984126984,0.0150090322580645,1454.0,-0.0016506451688658
xgboost,5,hard,none,inverse_volatility,50,-0.0204462636475868,0.0056928906124676,-3.62577670992504,-4.854748060537603,-0.0631262330049347,0.0584476984126984,0.0150090322580645,1454.0,-0.0016506451688658
xgboost,5,hard,none,prediction_magnitude,5,-0.0036301315378275,0.0056255205458599,-0.6436573441822737,-0.8952598554068769,-0.0162115592478981,0.0061036984126984,0.0150090322580645,1454.0,-0.0016506451688658
xgboost,5,hard,none,prediction_magnitude,10,-0.00551268272764,0.0056298855779427,-0.9790688642594764,-1.3555720703337697,-0.0199454654825884,0.0119196984126984,0.0150090322580645,1454.0,-0.0016506451688658
xgboost,5,hard,none,prediction_magnitude,20,-0.0092671764901108,0.0056409722469836,-1.6476453704783445,-2.262826196180441,-0.0309234226971786,0.0235516984126984,0.0150090322580645,1454.0,-0.0016506451688658
xgboost,5,hard,none,prediction_magnitude,50,-0.0204462636475868,0.0056928906124676,-3.62577670992504,-4.854748060537603,-0.0631262330049347,0.0584476984126984,0.0150090322580645,1454.0,-0.0016506451688658
lightgbm,5,none,none,equal,5,-0.0087486519392039,0.025403883856031,-0.3332060489608817,-0.491937620842934,-0.0645844639167111,0.0280167142857142,0.0688929032258064,6674.0,0.0003233466990291
lightgbm,5,none,none,equal,10,-0.0173167794449571,0.0254177010145573,-0.674539116049927,-0.9908172580501792,-0.0845074023923094,0.0547127142857142,0.0688929032258064,6674.0,0.0003233466990291
lightgbm,5,none,none,equal,20,-0.0342324496448531,0.0254490038131386,-1.3558976783786498,-1.9693536352333831,-0.1247646293866729,0.1081047142857142,0.0688929032258064,6674.0,0.0003233466990291
lightgbm,5,none,none,equal,50,-0.0832596009073913,0.025572082612462,-3.3860863558995486,-4.775431185784829,-0.2369447856840009,0.2682807142857143,0.0688929032258064,6674.0,0.0003233466990291
lightgbm,5,none,none,inverse_volatility,5,-0.0087486519392039,0.025403883856031,-0.3332060489608818,-0.4919376208429343,-0.0645844639167111,0.0280167142857142,0.0688929032258064,6674.0,0.0003233466990291
lightgbm,5,none,none,inverse_volatility,10,-0.0173167794449571,0.0254177010145573,-0.6745391160499271,-0.9908172580501792,-0.0845074023923094,0.0547127142857142,0.0688929032258064,6674.0,0.0003233466990291
lightgbm,5,none,none,inverse_volatility,20,-0.0342324496448531,0.0254490038131386,-1.3558976783786498,-1.969353635233383,-0.1247646293866729,0.1081047142857142,0.0688929032258064,6674.0,0.0003233466990291
lightgbm,5,none,none,inverse_volatility,50,-0.0832596009073913,0.025572082612462,-3.3860863558995495,-4.7754311857848295,-0.2369447856840009,0.2682807142857143,0.0688929032258064,6674.0,0.0003233466990291
lightgbm,5,none,none,prediction_magnitude,5,-0.0087486519392039,0.025403883856031,-0.3332060489608818,-0.4919376208429343,-0.0645844639167111,0.0280167142857142,0.0688929032258064,6674.0,0.0003233466990291
lightgbm,5,none,none,prediction_magnitude,10,-0.0173167794449571,0.0254177010145573,-0.6745391160499271,-0.9908172580501792,-0.0845074023923094,0.0547127142857142,0.0688929032258064,6674.0,0.0003233466990291
lightgbm,5,none,none,prediction_magnitude,20,-0.0342324496448531,0.0254490038131386,-1.3558976783786498,-1.969353635233383,-0.1247646293866729,0.1081047142857142,0.0688929032258064,6674.0,0.0003233466990291
lightgbm,5,none,none,prediction_magnitude,50,-0.0832596009073913,0.025572082612462,-3.3860863558995495,-4.7754311857848295,-0.2369447856840009,0.2682807142857143,0.0688929032258064,6674.0,0.0003233466990291
lightgbm,5,hard,none,equal,5,-0.0017202143613743,0.0057131755703048,-0.298501319811741,-0.4152664043452763,-0.0140638251440239,0.0063723968253968,0.0156696774193548,1518.0,0.0003504401448348
lightgbm,5,hard,none,equal,10,-0.0036892910277817,0.0057161264230006,-0.6437523474085909,-0.8919919328629028,-0.0166715926251894,0.0124443968253968,0.0156696774193548,1518.0,0.0003504401448348
lightgbm,5,hard,none,equal,20,-0.0076158599502216,0.0057244392747306,-1.3326245849515657,-1.8316126743517376,-0.0263001160601078,0.0245883968253968,0.0156696774193548,1518.0,0.0003504401448348
lightgbm,5,hard,none,equal,50,-0.0193034327124748,0.0057685116810493,-3.376053602453299,-4.525163869455027,-0.0600560580721118,0.0610203968253968,0.0156696774193548,1518.0,0.0003504401448348
lightgbm,5,hard,none,inverse_volatility,5,-0.0017202143613743,0.0057131755703048,-0.298501319811741,-0.4152664043452763,-0.0140638251440239,0.0063723968253968,0.0156696774193548,1518.0,0.0003504401448348
